n	row_ratio	col_ratio	offset
58875	4.824373673036093	4.824407643312102	2
59161	4.824293030881831	4.824309933909163	1
59446	4.825421390842108	4.825505500790634	5
59732	4.826324248309114	4.826374472644479	3
60018	4.8265187110533505	4.8265686960578496	3
60304	4.827125895462988	4.827225391350491	6
60590	4.828007922099356	4.828040930846674	2
60875	4.829437371663245	4.829486652977413	3
61161	4.829728094700871	4.829760795278037	2
61447	4.830650804758572	4.8306670789460835	1
61733	4.830690230508804	4.830852218424505	10
62019	4.832438446282591	4.832454570373595	1
62304	4.833253081664099	4.83334938366718	6
62590	4.833328007668957	4.833375938648347	3
62876	4.834451937146129	4.834483745785355	2
63162	4.834853234539755	4.834869066843988	1
63448	4.834872651620224	4.834904173496406	2
63733	4.8357522790391165	4.8357679694977485	1
64019	4.835939330511255	4.836001811962074	4
64305	4.836840059093383	4.8368556099836715	1
64591	4.836803889086715	4.836865817219117	4
64877	4.836906762026604	4.836937589592614	2
65162	4.837819588103496	4.837834934471011	1
65448	4.83826854907713	4.838283828382838	1
65734	4.839230839443819	4.8392460522712755	1
66020	4.8388821569221445	4.838942744622842	4
66306	4.839365969897144	4.839396133079963	2
66591	4.839843222057035	4.839903290234416	4
66877	4.840483275266534	4.840513180914216	2
67163	4.840671202894451	4.840834983547489	11
67449	4.841717445773844	4.841806401874009	6
67735	4.84241529489924	4.842430058315494	1
68020	4.842708027050867	4.842722728609233	1
68306	4.843103094896495	4.843117734898837	1
68592	4.8439468159552135	4.843961394914859	1
68878	4.8442318301925145	4.8442608670402745	2
69164	4.845381990630964	4.845425365797236	3
69449	4.846189289982577	4.846261285259687	5
69735	4.8469348246934825	4.84696350469635	2
70021	4.84753145484926	4.847545736279116	1
70307	4.8479667742899	4.8479809976247035	1
70593	4.848370235009137	4.8483985664301	2
70878	4.848641327351223	4.8487118711024575	5
71164	4.848870215277388	4.848884267326176	1
71450	4.849111266620014	4.849125262421274	1
71736	4.850089216014275	4.850131036020966	3
72022	4.850448474077365	4.850462358723723	1
72307	4.851660281853762	4.851701771612707	3
72593	4.852850825837202	4.8528783767029875	2
72879	4.8536478272204615	4.853702712715597	4
73165	4.853618533451787	4.8536458689263995	2
73450	4.854608577263445	4.854690265486726	6
73736	4.8549148312900074	4.854928393186503	1
74022	4.8551916997649345	4.8552187187592875	2
74308	4.85581633202347	4.855829789524681	1
74594	4.856342333163525	4.856382550875406	3
74879	4.857076082746832	4.857102792505242	2
75165	4.857500166300805	4.8575134703651965	1
75451	4.8575631867039535	4.857602947608382	3
75737	4.857995431559211	4.858008635145305	1
76023	4.858990042487142	4.859016350315036	2
76308	4.86002778214604	4.860067096503643	3
76594	4.861229339112724	4.861242394965663	1
76880	4.8613163371488035	4.861381373569198	5
77166	4.8621283985174815	4.862141357592722	1
77452	4.8627924391881425	4.862805350410577	1
77737	4.862536501279957	4.862562229054376	2
78023	4.863040385527344	4.863091652461454	4
78309	4.86366828844705	4.863706598219872	3
78595	4.8644188561613335	4.864520643806858	8
78881	4.865290754427556	4.865366818371978	6
79166	4.865598868200995	4.865636763256954	3
79452	4.865969390323717	4.865981976539294	1
79738	4.866174220572375	4.866224384860418	4
80024	4.866652504248726	4.866702489253224	4
80310	4.866928153405554	4.867002863902378	6
80595	4.867783361250698	4.867808176685899	2
80881	4.867805788751375	4.867842880280906	3
81167	4.868949203494031	4.8689615237719766	1
81453	4.869200643315777	4.8692251973530745	2
81739	4.869915217949816	4.869927452011892	1
82024	4.870342826489808	4.870367209597191	2
82310	4.871267160733812	4.87127930992589	1
82596	4.872136665213811	4.872172986585307	3
82882	4.872047006587679	4.87211939866316	6
83168	4.8726673720661795	4.872703443632166	3
83453	4.873353863851509	4.8733658466442185	1
83739	4.873249023752374	4.87329679122034	4
84025	4.873002082713478	4.873037786373104	3
84311	4.873171946721069	4.8731838075695935	1
84597	4.873435228199582	4.873470690450016	3
84882	4.874260738436889	4.874296081619189	3
85168	4.874530340033815	4.874553823032125	2
85454	4.87514920308002	4.875196011889438	4
85740	4.875915558665733	4.87592722183345	1
86025	4.8759197907585	4.875931415286254	1
86311	4.876261426701116	4.876273012709851	1
86597	4.876693187985727	4.876716283474023	2
